id;name;country;color;quantity;price;date
1;Pesto Pasta;ITALY;YELLOW;44583;15599;2020-04-03T18:43:45
2;Kartoffen Salad;GERMANY;CYAN;65089;2058;2018-03-03T19:46:29
3;Carbonade;BELGIUM;GREEN;61165;52475;2020-04-03T20:57:33
4;Trapist Beer;BELGIUM;GREEN;97375;36636;2018-03-03T15:32:32
5;Atomic Pizza;ITALY;CYAN;46676;4645;2020-03-03T00:29:25
6;Wonderful Paella;SPAIN;WHITE;56329;80839;2020-03-03T11:52:43
7;Würstchen McMuffin;GERMANY;BLUE;68326;12203;2019-03-03T06:29:20
8;Gratin Dauphinois;FRANCE;YELLOW;75536;31171;2020-03-03T10:55:30
9;Croquetas de Jamón;SPAIN;BLACK;44975;93949;2020-03-03T11:38:42
10;Trapist Beer;BELGIUM;RED;96117;32533;2019-03-03T00:51:36
11;Lomo Embuchado;SPAIN;RED;44975;93949;2020-01-03T11:38:42
12;Osso Bucco;ITALY;RED;44975;93949;2020-04-03T11:38:42
13;Osso Bucco;ITALY;BLACK;44975;93949;2019-04-03T00:51:36
14;Trapist Beer;BELGIUM;WHITE;96117;32533;2018-12-03T00:51:36
15;Pesto Pasta;ITALY;GREEN;23516;1231;2018-07-31T20:43:00
